-0.10	0.22	0.15	1.00	-0.23	-0.07	0.08	0.05	-0.15	0.01	-0.22	-0.42	-0.09	0.34	0.03
		(0.000)	(1.000)	(0.000)	(0.087)	(0.076)	(0.215)	(0.000)	(0.797)	(0.000)	(0.000)	(0.009)	(0.000)	(0.342)
2.96	4.61	-0.22	-0.23	1.00	0.15	-0.03	-0.17	-0.14	-0.02	0.08	0.06	0.05	-0.17	0.17
		(0.000)	(0.000)	(1.000)	(0.001)	(0.434)	(0.000)	(0.000)	(0.571)	(0.027)	(0.053)	(0.150)	(0.000)	(0.000)
0.64	0.41	0.02	-0.07	0.15	1.00	-0.62	-0.92	-0.10	0.23	0.18	0.18	-0.12	-0.28	0.01
		(0.649)	(0.087)	(0.001)	(1.000)	(0.000)	(0.000)	(0.020)	(0.000)	(0.000)	(0.000)	(0.007)	(0.000)	(0.883)
0.15	0.16	0.06	0.08	-0.03	-0.62	1.00	0.28	0.11	-0.19	-0.09	-0.12	0.12	0.18	-0.06
		(0.175)	(0.076)	(0.434)	(0.000)	(1.000)	(0.000)	(0.010)	(0.000)	(0.070)	(0.004)	(0.005)	(0.000)	(0.175)
0.21	0.33	-0.06	0.05	-0.17	-0.92	0.28	1.00	0.07	-0.18	-0.17	-0.17	0.08	0.26	0.02
		(0.220)	(0.215)	(0.000)	(0.000)	(0.000)	(1.000)	(0.110)	(0.000)	(0.000)	(0.000)	(0.051)	(0.000)	(0.632)
0.10	0.34	0.06	-0.15	-0.14	-0.10	0.11	0.07	1.00	-0.01	0.10	0.13	-0.02	0.04	-0.03
		(0.102)	(0.000)	(0.000)	(0.020)	(0.010)	(0.110)	(1.000)	(0.722)	(0.007)	(0.000)	(0.558)	(0.294)	(0.421)
1.97	37.88	-0.04	0.01	-0.02	0.23	-0.19	-0.18	-0.01	1.00	0.01	0.00	-0.02	-0.10	0.07
		(0.322)	(0.797)	(0.571)	(0.000)	(0.000)	(0.000)	(0.722)	(1.000)	(0.771)	(0.952)	(0.662)	(0.014)	(0.069)
1.39	1.99	-0.18	-0.22	0.08	0.18	-0.09	-0.17	0.10	0.01	1.00	0.34	0.06	-0.37	-0.09
		(0.000)	(0.000)	(0.027)	(0.000)	(0.070)	(0.000)	(0.007)	(0.771)	(1.000)	(0.000)	(0.092)	(0.000)	(0.015)
0.23	0.72	-0.07	-0.42	0.06	0.18	-0.12	-0.17	0.13	0.00	0.34	1.00	0.09	-0.29	-0.11
		(0.046)	(0.000)	(0.053)	(0.000)	(0.004)	(0.000)	(0.000)	(0.952)	(0.000)	(1.000)	(0.011)	(0.000)	(0.001)
0.41	0.14	0.01	-0.09	0.05	-0.12	0.12	0.08	-0.02	-0.02	0.06	0.09	1.00	0.04	-0.24
		(0.771)	(0.009)	(0.150)	(0.007)	(0.005)	(0.051)	(0.558)	(0.662)	(0.092)	(0.011)	(1.000)	(0.306)	(0.000)
9.37	1.76	0.41	0.34	-0.17	-0.28	0.18	0.26	0.04	-0.10	-0.37	-0.29	0.04	1.00	0.25
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.294)	(0.014)	(0.000)	(0.000)	(0.306)	(1.000)	(0.000)
2003.51	5.19	-0.14	0.03	0.17	0.01	-0.06	0.02	-0.03	0.07	-0.09	-0.11	-0.24	0.25	1.00
		(0.000)	(0.342)	(0.000)	(0.883)	(0.175)	(0.632)	(0.421)	(0.069)	(0.015)	(0.001)	(0.000)	(0.000)	(1.000)
