8.04	8.55	1.00	0.14	-0.20	0.06	0.06	-0.04	-0.18	-0.07	0.01	0.41	-0.14
		(1.000)	(0.000)	(0.000)	(0.175)	(0.102)	(0.322)	(0.000)	(0.046)	(0.771)	(0.000)	(0.000)
-0.10	0.21	0.14	1.00	-0.19	0.05	0.14	-0.06	-0.16	-0.46	-0.08	0.30	0.04
		(0.000)	(1.000)	(0.000)	(0.220)	(0.000)	(0.094)	(0.000)	(0.000)	(0.014)	(0.000)	(0.211)
3.67	6.52	-0.20	-0.19	1.00	-0.02	-0.18	-0.01	0.06	0.06	0.03	-0.16	0.09
		(0.000)	(0.000)	(1.000)	(0.719)	(0.000)	(0.760)	(0.132)	(0.055)	(0.372)	(0.000)	(0.003)
0.15	0.16	0.06	0.05	-0.02	1.00	0.11	-0.19	-0.09	-0.12	0.12	0.18	-0.06
		(0.175)	(0.220)	(0.719)	(1.000)	(0.010)	(0.000)	(0.070)	(0.004)	(0.005)	(0.000)	(0.175)
0.10	0.33	0.06	0.14	-0.18	0.11	1.00	-0.01	0.10	0.13	-0.02	0.04	-0.03
		(0.102)	(0.000)	(0.000)	(0.010)	(1.000)	(0.722)	(0.007)	(0.000)	(0.560)	(0.296)	(0.416)
1.97	37.88	-0.04	-0.06	-0.01	-0.19	-0.01	1.00	0.01	0.00	-0.02	-0.10	0.07
		(0.322)	(0.094)	(0.760)	(0.000)	(0.722)	(1.000)	(0.771)	(0.952)	(0.662)	(0.014)	(0.069)
1.39	1.99	-0.18	-0.16	0.06	-0.09	0.10	0.01	1.00	0.34	0.06	-0.37	-0.09
		(0.000)	(0.000)	(0.132)	(0.070)	(0.007)	(0.771)	(1.000)	(0.000)	(0.092)	(0.000)	(0.015)
0.23	0.72	-0.07	-0.46	0.06	-0.12	0.13	0.00	0.34	1.00	0.09	-0.29	-0.11
		(0.046)	(0.000)	(0.055)	(0.004)	(0.000)	(0.952)	(0.000)	(1.000)	(0.011)	(0.000)	(0.001)
0.41	0.14	0.01	-0.08	0.03	0.12	-0.02	-0.02	0.06	0.09	1.00	0.04	-0.24
		(0.771)	(0.014)	(0.372)	(0.005)	(0.560)	(0.662)	(0.092)	(0.011)	(1.000)	(0.306)	(0.000)
9.37	1.76	0.41	0.30	-0.16	0.18	0.04	-0.10	-0.37	-0.29	0.04	1.00	0.25
		(0.000)	(0.000)	(0.000)	(0.000)	(0.296)	(0.014)	(0.000)	(0.000)	(0.306)	(1.000)	(0.000)
2003.51	5.19	-0.14	0.04	0.09	-0.06	-0.03	0.07	-0.09	-0.11	-0.24	0.25	1.00
		(0.000)	(0.211)	(0.003)	(0.175)	(0.416)	(0.069)	(0.015)	(0.001)	(0.000)	(0.000)	(1.000)
