11.95	11.91	1.00	0.82	0.97	0.87	0.14	-0.21	0.05	0.05	-0.04	-0.20	-0.08	0.03	0.41	-0.19
		(1.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.309)	(0.158)	(0.289)	(0.000)	(0.024)	(0.459)	(0.000)	(0.000)
5.07	5.87	0.82	1.00	0.91	0.46	0.13	-0.17	0.08	0.05	-0.04	-0.16	-0.06	0.01	0.36	-0.06
		(0.000)	(1.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.067)	(0.178)	(0.361)	(0.000)	(0.079)	(0.769)	(0.000)	(0.120)
8.04	8.55	0.97	0.91	1.00	0.73	0.14	-0.20	0.06	0.06	-0.04	-0.18	-0.07	0.01	0.41	-0.14
		(0.000)	(0.000)	(1.000)	(0.000)	(0.000)	(0.000)	(0.165)	(0.102)	(0.322)	(0.000)	(0.046)	(0.771)	(0.000)	(0.000)
3.55	3.91	0.87	0.46	0.73	1.00	0.10	-0.17	-0.02	0.01	-0.04	-0.18	-0.07	0.02	0.30	-0.25
		(0.000)	(0.000)	(0.000)	(1.000)	(0.003)	(0.000)	(0.632)	(0.727)	(0.335)	(0.000)	(0.034)	(0.536)	(0.000)	(0.000)
-0.10	0.21	0.14	0.13	0.14	0.10	1.00	-0.19	0.03	0.14	-0.06	-0.16	-0.46	-0.08	0.30	0.04
		(0.000)	(0.000)	(0.000)	(0.003)	(1.000)	(0.000)	(0.422)	(0.000)	(0.094)	(0.000)	(0.000)	(0.014)	(0.000)	(0.211)
3.67	6.52	-0.21	-0.17	-0.20	-0.17	-0.19	1.00	-0.05	-0.18	-0.01	0.06	0.06	0.03	-0.16	0.09
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(1.000)	(0.220)	(0.000)	(0.760)	(0.132)	(0.055)	(0.372)	(0.000)	(0.003)
0.46	0.10	0.05	0.08	0.06	-0.02	0.03	-0.05	1.00	-0.06	0.19	0.05	0.10	-0.06	0.00	-0.00
		(0.309)	(0.067)	(0.165)	(0.632)	(0.422)	(0.220)	(1.000)	(0.138)	(0.000)	(0.332)	(0.025)	(0.201)	(0.945)	(0.947)
0.10	0.33	0.05	0.05	0.06	0.01	0.14	-0.18	-0.06	1.00	-0.01	0.10	0.13	-0.02	0.04	-0.03
		(0.158)	(0.178)	(0.102)	(0.727)	(0.000)	(0.000)	(0.138)	(1.000)	(0.722)	(0.007)	(0.000)	(0.560)	(0.296)	(0.416)
1.97	37.88	-0.04	-0.04	-0.04	-0.04	-0.06	-0.01	0.19	-0.01	1.00	0.01	0.00	-0.02	-0.10	0.07
		(0.289)	(0.361)	(0.322)	(0.335)	(0.094)	(0.760)	(0.000)	(0.722)	(1.000)	(0.771)	(0.952)	(0.662)	(0.014)	(0.069)
1.39	1.99	-0.20	-0.16	-0.18	-0.18	-0.16	0.06	0.05	0.10	0.01	1.00	0.34	0.06	-0.37	-0.09
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.132)	(0.332)	(0.007)	(0.771)	(1.000)	(0.000)	(0.092)	(0.000)	(0.015)
0.23	0.72	-0.08	-0.06	-0.07	-0.07	-0.46	0.06	0.10	0.13	0.00	0.34	1.00	0.09	-0.29	-0.11
		(0.024)	(0.079)	(0.046)	(0.034)	(0.000)	(0.055)	(0.025)	(0.000)	(0.952)	(0.000)	(1.000)	(0.011)	(0.000)	(0.001)
0.41	0.14	0.03	0.01	0.01	0.02	-0.08	0.03	-0.06	-0.02	-0.02	0.06	0.09	1.00	0.04	-0.24
		(0.459)	(0.769)	(0.771)	(0.536)	(0.014)	(0.372)	(0.201)	(0.560)	(0.662)	(0.092)	(0.011)	(1.000)	(0.306)	(0.000)
9.37	1.76	0.41	0.36	0.41	0.30	0.30	-0.16	0.00	0.04	-0.10	-0.37	-0.29	0.04	1.00	0.25
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.945)	(0.296)	(0.014)	(0.000)	(0.000)	(0.306)	(1.000)	(0.000)
2003.51	5.19	-0.19	-0.06	-0.14	-0.25	0.04	0.09	-0.00	-0.03	0.07	-0.09	-0.11	-0.24	0.25	1.00
		(0.000)	(0.120)	(0.000)	(0.000)	(0.211)	(0.003)	(0.947)	(0.416)	(0.069)	(0.015)	(0.001)	(0.000)	(0.000)	(1.000)
